cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_1_0,cell_1_1,cell_1_2,cell_1_3,cell_1_4,cell_1_5,cell_1_6,cell_2_0,cell_2_1,cell_2_2,cell_2_3,cell_2_4,cell_2_5,cell_2_6,cell_3_0,cell_3_1,cell_3_2,cell_3_3,cell_3_4,cell_3_5,cell_3_6,cell_4_0,cell_4_1,cell_4_2,cell_4_3,cell_4_4,cell_4_5,cell_4_6,cell_5_0,cell_5_1,cell_5_2,cell_5_3,cell_5_4,cell_5_5,cell_5_6,piece_count,first_player,current_player,best_move
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,1,2,2,1,0,12,O,X,5
0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,2,1,2,0,0,0,0,1,1,2,0,0,0,0,2,1,1,14,O,X,5
2,2,1,0,0,0,0,1,1,2,0,0,0,0,2,1,2,0,0,0,1,1,2,2,0,0,1,1,1,1,1,2,0,2,1,1,2,2,1,0,2,2,27,O,X,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,2,1,0,0,8,O,X,4
1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,7,O,X,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,2,1,0,0,0,0,1,2,1,10,O,X,6
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,2,0,1,9,O,X,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,1,1,1,0,1,1,0,2,1,2,1,2,2,0,1,2,1,2,1,20,O,X,4
0,0,1,0,2,0,0,0,0,2,2,1,0,0,0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,2,1,1,0,0,0,1,1,2,2,0,0,18,X,X,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,2,0,0,7,O,X,0
0,0,1,2,2,0,0,0,0,2,1,1,0,0,0,1,2,1,1,0,0,2,2,2,1,1,0,0,1,1,1,2,2,0,1,2,2,2,1,2,0,1,27,X,X,1
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,2,1,0,0,0,0,2,2,1,0,0,0,0,2,1,1,0,1,14,O,X,6
0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,1,2,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,0,2,1,1,0,1,0,0,16,O,X,4
0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,2,1,2,0,1,1,1,1,2,1,0,2,1,2,1,2,2,1,1,2,2,1,26,X,X,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,2,2,2,1,10,X,X,0
0,0,0,0,1,2,1,0,0,0,0,2,2,1,0,0,0,0,1,2,2,0,0,0,0,2,1,1,0,0,0,1,1,1,2,0,0,2,1,1,2,2,21,O,X,3
0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,0,0,1,2,2,2,0,0,17,X,X,1
0,0,0,0,2,2,2,0,0,0,0,1,2,1,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,1,1,1,1,19,O,X,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,2,2,1,0,0,0,0,7,O,X,1
